Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.5040822351309094,0.7537253725372538,1.7448156341075898,0.46080000000000004
2,0.42242364674368454,0.7970297029702971,1.0142973392486572,0.4632
3,0.3188656397802447,0.8535353535353536,1.0303036822319032,0.507
4,0.27467500764985764,0.8754375437543754,1.076801273536682,0.518
5,0.24902339233900503,0.8874387438743875,1.0127699813842774,0.5352
6,0.2211545568929337,0.8993899389938994,0.973605747795105,0.5636
7,0.20558285976823706,0.9086408640864087,1.4310906957626344,0.5646
8,0.18945262079337727,0.9154415441544155,1.2507419976234435,0.5740000000000001
9,0.17041861919602558,0.9226422642264227,1.2610104412078857,0.5834
10,0.1634841237646757,0.9254925492549255,1.2460114077568054,0.5858
