Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.5058604270228745,0.7505750575057506,1.2963285470962524,0.4308
2,0.35095834235350293,0.8433843384338434,1.9843454314231872,0.4818
3,0.28819921896187994,0.8784378437843785,1.2877458166122437,0.5358
4,0.2409349745220513,0.9003900390039005,1.589104131412506,0.5428000000000001
5,0.20247111729334946,0.915941594159416,1.371189955997467,0.5788
6,0.17915318948779776,0.9250425042504251,1.5849657801628112,0.5804
7,0.15475002271865104,0.9371937193719372,1.25641001124084,0.6176
8,0.1309947156653677,0.9472447244724472,1.4537326715946197,0.618
9,0.11356377440749413,0.9544954495449546,1.331585446548462,0.6352
10,0.09684492652863785,0.9612961296129613,1.2495934170722962,0.6556000000000001
